,Hotel Name,Address,Rating (5),Price (2)
5549,Wok Toss,TG West Pune,4.7,1000
5550,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5551,Fountain House,HG West Pune,4.4,1500
5552,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5553,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5554,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5555,Little Italy,"IS Nagar, West Pune",4.1,1500
5556,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5557,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5558,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5559,Madeline,"MS Nagar, West Pune",4.4,900
5560,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5561,Mughal's,"MF Road, West Pune",5.0,1000
5562,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5563,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5564,High Garden,"GS Bapat Road, West Pune",4.2,1000
5565,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5566,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5567,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5568,Wok Toss,TG West Pune,4.7,1000
5569,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5570,Fountain House,HG West Pune,4.4,1500
5571,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5572,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5573,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5574,Little Italy,"IS Nagar, West Pune",4.1,1500
5575,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5576,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5577,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5578,Madeline,"MS Nagar, West Pune",4.4,900
5579,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5580,Mughal's,"MF Road, West Pune",5.0,1000
5581,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5582,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5583,High Garden,"GS Bapat Road, West Pune",4.2,1000
5584,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5585,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5586,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5587,Wok Toss,TG West Pune,4.7,1000
5588,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5589,Fountain House,HG West Pune,4.4,1500
5590,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5591,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5592,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5593,Little Italy,"IS Nagar, West Pune",4.1,1500
5594,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5595,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5596,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5597,Madeline,"MS Nagar, West Pune",4.4,900
5598,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5599,Mughal's,"MF Road, West Pune",5.0,1000
5600,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5601,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5602,High Garden,"GS Bapat Road, West Pune",4.2,1000
5603,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5604,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5605,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5606,Wok Toss,TG West Pune,4.7,1000
5607,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5608,Fountain House,HG West Pune,4.4,1500
5609,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5610,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5611,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5612,Little Italy,"IS Nagar, West Pune",4.1,1500
5613,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5614,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5615,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5616,Madeline,"MS Nagar, West Pune",4.4,900
5617,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5618,Mughal's,"MF Road, West Pune",5.0,1000
5619,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5620,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5621,High Garden,"GS Bapat Road, West Pune",4.2,1000
5622,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5623,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5624,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5625,Wok Toss,TG West Pune,4.7,1000
5626,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5627,Fountain House,HG West Pune,4.4,1500
5628,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5629,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5630,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5631,Little Italy,"IS Nagar, West Pune",4.1,1500
5632,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5633,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5634,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5635,Madeline,"MS Nagar, West Pune",4.4,900
5636,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5637,Mughal's,"MF Road, West Pune",5.0,1000
5638,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5639,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5640,High Garden,"GS Bapat Road, West Pune",4.2,1000
5641,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5642,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5643,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5644,Wok Toss,TG West Pune,4.7,1000
5645,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5646,Fountain House,HG West Pune,4.4,1500
5647,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5648,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5649,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5650,Little Italy,"IS Nagar, West Pune",4.1,1500
5651,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5652,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5653,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5654,Madeline,"MS Nagar, West Pune",4.4,900
5655,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5656,Mughal's,"MF Road, West Pune",5.0,1000
5657,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5658,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5659,High Garden,"GS Bapat Road, West Pune",4.2,1000
5660,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5661,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5662,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5663,Wok Toss,TG West Pune,4.7,1000
5664,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5665,Fountain House,HG West Pune,4.4,1500
5666,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5667,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5668,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5669,Little Italy,"IS Nagar, West Pune",4.1,1500
5670,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5671,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5672,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5673,Madeline,"MS Nagar, West Pune",4.4,900
5674,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5675,Mughal's,"MF Road, West Pune",5.0,1000
5676,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5677,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5678,High Garden,"GS Bapat Road, West Pune",4.2,1000
5679,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5680,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5681,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5682,Wok Toss,TG West Pune,4.7,1000
5683,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5684,Fountain House,HG West Pune,4.4,1500
5685,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5686,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5687,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5688,Little Italy,"IS Nagar, West Pune",4.1,1500
5689,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5690,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5691,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5692,Madeline,"MS Nagar, West Pune",4.4,900
5693,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5694,Mughal's,"MF Road, West Pune",5.0,1000
5695,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5696,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5697,High Garden,"GS Bapat Road, West Pune",4.2,1000
5698,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5699,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5700,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5701,Wok Toss,TG West Pune,4.7,1000
5702,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5703,Fountain House,HG West Pune,4.4,1500
5704,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5705,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5706,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5707,Little Italy,"IS Nagar, West Pune",4.1,1500
5708,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5709,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5710,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5711,Madeline,"MS Nagar, West Pune",4.4,900
5712,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5713,Mughal's,"MF Road, West Pune",5.0,1000
5714,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5715,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5716,High Garden,"GS Bapat Road, West Pune",4.2,1000
5717,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5718,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5719,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5720,Wok Toss,TG West Pune,4.7,1000
5721,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5722,Fountain House,HG West Pune,4.4,1500
5723,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5724,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5725,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5726,Little Italy,"IS Nagar, West Pune",4.1,1500
5727,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5728,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5729,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5730,Madeline,"MS Nagar, West Pune",4.4,900
5731,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5732,Mughal's,"MF Road, West Pune",5.0,1000
5733,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5734,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5735,High Garden,"GS Bapat Road, West Pune",4.2,1000
5736,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5737,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5738,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5739,Wok Toss,TG West Pune,4.7,1000
5740,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5741,Fountain House,HG West Pune,4.4,1500
5742,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5743,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5744,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5745,Little Italy,"IS Nagar, West Pune",4.1,1500
5746,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5747,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5748,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5749,Madeline,"MS Nagar, West Pune",4.4,900
5750,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5751,Mughal's,"MF Road, West Pune",5.0,1000
5752,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5753,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5754,High Garden,"GS Bapat Road, West Pune",4.2,1000
5755,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5756,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5757,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5758,Wok Toss,TG West Pune,4.7,1000
5759,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5760,Fountain House,HG West Pune,4.4,1500
5761,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5762,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5763,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5764,Little Italy,"IS Nagar, West Pune",4.1,1500
5765,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5766,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5767,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5768,Madeline,"MS Nagar, West Pune",4.4,900
5769,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5770,Mughal's,"MF Road, West Pune",5.0,1000
5771,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5772,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5773,High Garden,"GS Bapat Road, West Pune",4.2,1000
5774,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5775,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5776,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5777,Wok Toss,TG West Pune,4.7,1000
5778,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5779,Fountain House,HG West Pune,4.4,1500
5780,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5781,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5782,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5783,Little Italy,"IS Nagar, West Pune",4.1,1500
5784,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5785,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5786,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5787,Madeline,"MS Nagar, West Pune",4.4,900
5788,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5789,Mughal's,"MF Road, West Pune",5.0,1000
5790,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5791,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5792,High Garden,"GS Bapat Road, West Pune",4.2,1000
5793,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5794,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5795,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5796,Wok Toss,TG West Pune,4.7,1000
5797,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5798,Fountain House,HG West Pune,4.4,1500
5799,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5800,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5801,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5802,Little Italy,"IS Nagar, West Pune",4.1,1500
5803,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5804,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5805,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5806,Madeline,"MS Nagar, West Pune",4.4,900
5807,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5808,Mughal's,"MF Road, West Pune",5.0,1000
5809,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5810,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5811,High Garden,"GS Bapat Road, West Pune",4.2,1000
5812,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5813,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5814,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5815,Wok Toss,TG West Pune,4.7,1000
5816,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5817,Fountain House,HG West Pune,4.4,1500
5818,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5819,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5820,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5821,Little Italy,"IS Nagar, West Pune",4.1,1500
5822,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5823,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5824,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5825,Madeline,"MS Nagar, West Pune",4.4,900
5826,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5827,Mughal's,"MF Road, West Pune",5.0,1000
5828,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5829,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5830,High Garden,"GS Bapat Road, West Pune",4.2,1000
5831,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5832,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5833,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5834,Wok Toss,TG West Pune,4.7,1000
5835,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5836,Fountain House,HG West Pune,4.4,1500
5837,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5838,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5839,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5840,Little Italy,"IS Nagar, West Pune",4.1,1500
5841,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5842,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5843,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5844,Madeline,"MS Nagar, West Pune",4.4,900
5845,Cafe Deja Vu,"VS Nagar, West Pune",5.0,600
5846,Mughal's,"MF Road, West Pune",5.0,1000
5847,The Iraj | Crazy Sizzlers,"SS Nagar, West Pune",5.0,1000
5848,Oregano,"OT Ambience Hotel,Model Colony, West Pune",4.9,1200
5849,High Garden,"GS Bapat Road, West Pune",4.2,1000
5850,La Mesa Cafe,"CS Nagar, West Pune",5.0,400
5851,Mad Over Donuts,"DT Pavillion Mall,Shivaji Nagar, West Pune",4.4,500
5852,NH 37 Dhaba,"DS Nagar, West Pune",4.4,1500
5853,Wok Toss,TG West Pune,4.7,1000
5854,Chimichurri,"CO Center Point Mall,Shivaji Nagar, West Pune",4.6,1400
5855,Fountain House,HG West Pune,4.4,1500
5856,Urban Tadka,"TS Nagar, West Pune",4.6,1100
5857,Pop Tate's,"TS Nagar, West Pune",4.4,1900
5858,Shahi Bhoj Thali Restaurant,"RS Nagar, West Pune",4.1,800
5859,Little Italy,"IS Nagar, West Pune",4.1,1500
5860,TGI Friday's,"FT Pavillion Mall,Shivaji Nagar, West Pune",4.2,2900
5861,The Poppa Cafe,"CS Bapat Road, West Pune",4.0,400
5862,Mamagoto,"MT Pavillion Mall,Shivaji Nagar, West Pune",4.4,1500
5863,Madeline,"MS Nagar, West Pune",4.4,900
